SKU,mes_label,volumen
30000039,Enero 2026,28.879
30000039,Febrero 2026,35.298
30000039,Marzo 2026,7.026
30000039,Abril 2026,19.86
30000039,Mayo 2026,38.009
30000039,Junio 2026,19.648
30000039,Julio 2026,27.805
30000039,Agosto 2026,18.143
30000039,Septiembre 2026,27.6
30000039,Octubre 2026,27.6
30000039,Noviembre 2026,25.4
30000039,Diciembre 2026,29.9
30000039,Enero 2027,27.253
30000039,Febrero 2027,29.878
30000039,Marzo 2027,25.094
30000039,Abril 2027,23.995
30000039,Mayo 2027,27.473
30000039,Junio 2027,25.222
30000039,Julio 2027,27.03
30000039,Agosto 2027,31.414
30000039,Septiembre 2027,23.875
30000039,Octubre 2027,25.999
30000039,Noviembre 2027,28.885
30000039,Diciembre 2027,29.312
30000041,Enero 2026,17.383
30000041,Febrero 2026,13.86
30000041,Marzo 2026,15.999
30000041,Abril 2026,15.263
30000041,Mayo 2026,6.141
30000041,Junio 2026,8.262
30000041,Julio 2026,11.137
30000041,Agosto 2026,10.674
30000041,Septiembre 2026,9.7
30000041,Octubre 2026,10.5
30000041,Noviembre 2026,10.2
30000041,Diciembre 2026,11.8
30000041,Enero 2027,12.093
30000041,Febrero 2027,13.083
30000041,Marzo 2027,15.411
30000041,Abril 2027,14.851
30000041,Mayo 2027,9.537
30000041,Junio 2027,10.808
30000041,Julio 2027,11.561
30000041,Agosto 2027,11.971
30000041,Septiembre 2027,9.373
30000041,Octubre 2027,9.797
30000041,Noviembre 2027,10.403
30000041,Diciembre 2027,12.111
30000043,Enero 2026,7.251
30000043,Febrero 2026,5.062
30000043,Marzo 2026,7.226
30000043,Abril 2026,6.427
30000043,Mayo 2026,5.652
30000043,Junio 2026,5.212
30000043,Julio 2026,7.238
30000043,Agosto 2026,6.348
30000043,Septiembre 2026,6.1
30000043,Octubre 2026,5.893
30000043,Noviembre 2026,6.208
30000043,Diciembre 2026,6.212
30000043,Enero 2027,6.332
30000043,Febrero 2027,5.147
30000043,Marzo 2027,8.779
30000043,Abril 2027,7.277
30000043,Mayo 2027,7.484
30000043,Junio 2027,6.581
30000043,Julio 2027,4.672
30000043,Agosto 2027,7.456
30000043,Septiembre 2027,6.673
30000043,Octubre 2027,4.81
30000043,Noviembre 2027,6.172
30000043,Diciembre 2027,5.866
30000045,Enero 2026,0.012
30000046,Enero 2026,2.473
30000046,Febrero 2026,2.28
30000046,Marzo 2026,4.476
30000046,Abril 2026,2.98
30000046,Mayo 2026,1.926
30000046,Junio 2026,2.71
30000046,Julio 2026,0.62
30000046,Agosto 2026,0.282
