SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000067,MARGARINA PAMPERITA 40X250GR,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Industrial Y Food Service,202534,202508,0.0,0.0,0.08,0.08,0.0,0.0,0.0
30001402,MARGARINA CALO LIGHT 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Industrial Y Food Service,202534,202508,0.4374,0.5,0.4374,0.4374,0.0,0.0,0.0
30000066,MARGARINA PAMPERITA 6X12X100GR,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.1368,0.1,0.1368,0.1368,0.0,0.0,0.0
30000067,MARGARINA PAMPERITA 40X250GR,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.17,0.2,0.19,0.17,0.01,0.0,0.0
30000069,MARGARINA SUREÑA 6X12X125GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.045,0.1,0.045,0.045,0.0,0.0,0.0
30000073,MARGARINA PAMPERITA 10X1KG,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.48,0.7,0.49,0.48,0.0,0.01,0.0
30000075,MARG CALO CAJA LISTA 6X12X125GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.081,0.1,0.081,0.081,0.0,0.0,0.0
30001342,SUREÑA MIX PAN 40X200,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.136,0.3,0.136,0.136,0.0,0.0,0.0
30001401,MARGARINA CALO 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,1.998,1.8,2.0628,1.998,0.0108,0.0,0.0
30001402,MARGARINA CALO LIGHT 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.5562,0.6,0.5562,0.5562,0.0,0.0,0.0
30001403,MARGARINA CALO 6X900G,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,1.0854,1.0,1.0962,1.0854,0.0054,0.0054,0.0
30001872,MARGARINA SUREÑA DIET 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.09179999999999999,0.6,0.1242,0.0918,0.0,0.027,0.0
30001873,MARG SUREÑA POTE MIX 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.9882,1.5,1.0314,1.0098,0.0,0.0,0.0
30001401,MARGARINA CALO 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.1404,0.5,0.2052,0.2052,0.0,0.0,0.198778
30001402,MARGARINA CALO LIGHT 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.1242,0.1,0.189,0.189,0.0,0.0,0.150652
30001872,MARGARINA SUREÑA DIET 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.0324,0.1,0.0972,0.0972,0.0,0.0,0.09269999999999999
30001873,MARG SUREÑA POTE MIX 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.6372000000000001,0.6,0.8964,0.8964,0.0,0.0,0.552245
30000066,MARGARINA PAMPERITA 6X12X100GR,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.0792,0.1,0.1008,0.0936,0.007200000000000001,0.0,0.07890000000000001
30000069,MARGARINA SUREÑA 6X12X125GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.099,0.0,0.108,0.108,0.0,0.0,0.04412500000000001
30000073,MARGARINA PAMPERITA 10X1KG,PAMPERITA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.37,0.8,0.42,0.42,0.0,0.0,0.537
30001342,SUREÑA MIX PAN 40X200,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.248,0.4,0.272,0.272,0.0,0.0,0.295
30001401,MARGARINA CALO 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.3942000000000001,1.6,0.4374,0.4374,0.0,0.0,0.80775
30001402,MARGARINA CALO LIGHT 12X450GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.4158000000000001,0.3,0.459,0.432,0.027,0.0,0.4329
30001403,MARGARINA CALO 6X900G,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.1296,0.6,0.135,0.135,0.0,0.0,0.1836
