SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000641,PAPAYAS TROCITOS WASIL 16X380GR,WASIL,OTROS CONSERVAS FRUTA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.01216,0.01446538703815869,0.01216,0.01216,0.0,0.0,0.0
30000642,POROTOS GRANADOS WASIL 16X380GR,WASIL,PLATOS PREPARADOS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.11552,0.1548319693539962,0.1216,0.1216,0.0,0.0,0.0
30000643,POROTOS WASIL 16X380GR,WASIL,LEGUMBRES CONSERVA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.3647999999999999,0.4,0.3952000000000001,0.37696,0.0,0.01824,0.0
30000644,DURAZNOS CUBITOS WSL 16X500GR,WASIL,DURAZNO CONSERVA TETRA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.3360000000000001,0.4,0.344,0.344,0.0,0.0,0.0
30000648,CARBONADA WSL 16X380GR,WASIL,PLATOS PREPARADOS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.07904000000000003,0.1429218178652272,0.07904,0.07904,0.0,0.0,0.0
30000653,TOMATICAN WSL 16X380GR,WASIL,PLATOS PREPARADOS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.05472,0.0716026964503371,0.05472,0.05472,0.0,0.0,0.0
30000662,CREMA TOMATE WASIL 16X380GR,WASIL,CREMAS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.01824,0.02622,0.01824,0.01824,0.0,0.0,0.0
30000665,CREMA DE ESPARRAGOS 16X380GR,WASIL,CREMAS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.02432,0.03092615384615384,0.02432,0.02432,0.0,0.0,0.0
30000666,CREMA DE ZAPALLO WASIL 16X380GR,WASIL,CREMAS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.0304,0.045885,0.0304,0.0304,0.0,0.0,0.0
30000667,CREMA DE LENTEJAS WASIL 16X380GR,WASIL,CREMAS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.03648,0.03680884615384616,0.03648000000000001,0.03648000000000001,0.0,0.0,0.0
30000668,POROTOS ROJOS 16X380GR,WASIL,LEGUMBRES CONSERVA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.17632,0.3183556923076923,0.19456,0.18848,0.0,0.00608,0.0
30000671,LENTEJAS CON CHORIZO WSL 16X380GR,WASIL,PLATOS PREPARADOS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.10336,0.07401308425163555,0.11552,0.11552,0.0,0.0,0.0
30000673,COCTEL DE FRUTA WSL 20X820GR,WASIL,OTROS CONSERVAS FRUTA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.04920000000000001,0.1476,0.04919999999999999,0.04919999999999999,0.0,0.0,0.0
